temperature_c,rain_probability,wind_speed_kph,month,is_good_day
25.3,0.08,17.9,5,1
34.2,0.52,6.8,4,0
12.5,0.45,12.5,1,0
19.2,0.35,5.1,10,1
17.7,0.2,13.7,11,1
15.0,0.02,7.7,1,1
24.6,0.11,6.0,1,1
16.8,0.07,12.2,10,1
18.1,0.42,9.5,10,0
29.2,0.54,14.2,8,1
13.7,0.11,22.8,12,1
31.5,0.54,16.9,6,0
28.6,0.27,9.8,5,1
32.6,0.07,5.7,5,1
20.6,0.13,14.5,3,1
6.5,0.15,18.3,2,0
28.2,0.59,8.7,7,0
34.0,0.06,7.4,5,1
33.4,0.14,12.7,5,1
6.5,0.39,14.7,11,0
24.7,0.39,14.7,4,1
21.6,0.19,6.5,3,1
27.4,0.11,14.6,1,1
32.6,0.77,10.3,6,0
26.0,0.15,15.0,3,1
36.9,0.58,5.4,7,0
18.0,0.47,5.1,9,0
17.5,0.24,6.1,10,0
18.3,0.18,11.4,3,1
2.9,0.12,11.0,1,0
27.2,0.24,0.0,8,1
27.1,0.35,18.2,4,1
23.4,0.36,20.8,9,1
4.9,0.07,6.1,12,0
39.7,0.23,11.3,5,0
16.6,0.03,14.5,10,1
28.0,0.85,14.2,6,0
30.0,0.77,23.6,7,0
27.4,0.9,14.5,6,0
18.7,0.16,13.8,3,1
31.1,0.67,0.0,6,0
28.6,0.17,6.6,3,1
10.5,0.34,4.9,1,1
15.6,0.29,15.4,4,1
18.4,0.1,12.4,12,1
8.0,0.12,7.2,2,0
27.5,0.19,18.0,5,1
34.6,0.43,16.0,7,0
24.7,0.39,12.1,2,0
30.1,0.37,0.0,9,1
33.3,0.08,13.0,6,1
11.4,0.01,8.0,1,1
12.3,0.67,19.4,12,0
25.3,0.37,15.4,8,1
15.2,0.05,11.9,1,1
14.5,0.56,16.5,1,0
26.4,0.13,15.9,3,1
15.9,0.08,5.8,2,1
23.3,0.7,4.2,8,0
16.9,0.55,9.5,1,0
21.6,0.03,5.2,10,1
38.2,0.52,2.4,6,0
14.8,0.14,0.0,12,1
16.2,0.01,14.0,10,1
29.4,0.1,15.5,3,1
17.9,0.19,16.2,12,1
27.0,0.14,19.6,4,1
26.4,0.67,10.7,7,0
39.0,0.39,15.9,6,0
20.6,0.18,11.5,3,1
20.8,0.34,20.6,4,1
13.5,0.59,10.0,12,0
20.0,0.39,22.7,9,1
31.8,0.28,12.2,8,1
24.9,0.07,0.0,6,1
31.2,0.34,12.7,6,1
18.0,0.31,8.3,3,1
18.9,0.51,5.1,9,0
19.2,0.1,15.0,3,1
31.8,0.77,17.4,6,0
14.4,0.12,4.4,11,1
20.8,0.12,11.0,3,1
34.8,0.79,6.2,6,0
23.6,0.35,13.4,6,1
15.8,0.02,2.6,10,0
24.1,0.56,16.6,8,0
10.0,0.34,8.2,12,1
27.8,0.31,14.0,4,1
15.7,0.93,19.1,9,0
16.1,0.22,17.7,11,1
23.7,0.32,14.7,7,1
31.9,0.46,19.6,5,0
28.8,0.3,13.7,3,1
21.8,0.17,1.3,3,1
29.9,0.14,18.8,4,1
21.3,0.39,12.9,1,1
22.4,0.02,3.2,2,1
4.9,0.3,19.0,10,0
14.5,0.45,2.6,10,0
8.2,0.15,11.4,10,0
9.9,0.21,11.5,1,0
12.7,0.47,14.2,12,0
4.5,0.05,15.8,12,0
14.6,0.22,11.1,1,1
22.9,0.07,1.6,3,0
16.4,0.91,23.4,9,0
18.5,0.44,11.3,1,0
27.6,0.28,18.3,8,1
40.3,0.49,12.4,5,0
12.9,0.34,17.5,1,1
9.2,0.13,4.1,1,0
18.1,0.15,7.4,3,1
14.2,0.23,5.8,2,1
21.1,0.16,11.1,4,1
7.4,0.65,12.4,12,0
30.5,0.55,5.3,3,0
17.5,0.22,13.8,2,1
5.0,0.22,10.0,1,0
9.2,0.12,9.5,12,0
7.4,0.27,0.3,2,0
22.0,0.41,14.9,9,0
16.5,0.26,16.0,4,1
17.6,0.16,14.5,3,1
12.4,0.14,8.5,12,1
24.5,0.22,9.7,6,1
18.8,0.19,7.8,3,0
15.3,0.07,18.1,1,1
14.1,0.2,17.2,11,1
11.0,0.05,20.6,2,1
25.6,0.7,13.6,9,0
19.2,0.74,0.0,8,1
14.1,0.04,8.7,10,1
26.3,0.6,9.2,8,0
8.1,0.7,0.0,12,0
25.4,0.11,18.8,8,1
24.7,0.25,1.7,7,1
33.5,0.22,7.9,8,1
5.6,0.48,1.2,12,0
9.0,0.49,8.1,11,0
25.5,0.38,13.0,5,1
25.8,0.09,9.4,4,1
15.8,0.08,16.6,2,1
38.5,0.33,10.5,5,0
11.9,0.31,14.3,1,1
31.8,0.19,8.8,4,1
11.1,0.1,18.7,1,0
19.3,0.17,11.9,1,1
32.8,0.39,12.1,6,1
11.7,0.04,13.2,12,1
33.5,0.16,16.4,4,1
27.0,0.44,7.4,6,0
17.0,0.29,16.6,3,1
44.9,0.66,8.4,7,0
9.8,0.43,11.0,2,0
33.3,0.3,10.4,5,0
10.5,0.05,6.5,1,1
21.2,0.39,9.2,8,1
15.7,0.22,12.6,1,1
13.0,0.31,10.3,10,1
34.0,0.07,15.0,4,1
34.4,0.43,16.6,6,0
27.2,0.1,25.2,4,1
36.0,0.59,7.2,7,0
31.9,0.23,10.0,5,1
27.1,0.07,12.8,5,1
34.3,0.29,14.0,7,1
26.9,0.08,15.6,5,1
36.1,0.61,4.7,9,0
15.7,0.32,13.4,11,1
22.0,0.03,24.1,4,1
27.3,0.26,10.9,6,1
25.9,0.1,15.6,4,1
24.7,0.31,17.9,4,1
39.6,0.32,8.1,7,0
23.2,0.74,12.9,8,0
37.9,0.77,21.5,8,0
21.8,0.54,7.2,9,0
21.7,0.47,11.7,2,0
11.6,0.22,14.0,12,1
17.4,0.37,10.8,12,1
20.0,0.2,5.5,2,1
31.5,0.35,8.7,4,1
17.1,0.33,16.2,10,1
35.5,0.09,9.4,7,1
26.2,0.12,6.7,1,1
11.2,0.14,19.7,1,1
32.1,0.63,10.3,7,0
28.2,0.1,12.1,10,1
2.2,0.33,2.7,1,0
16.8,0.05,18.3,2,1
12.4,0.01,10.9,11,1
34.5,0.52,13.2,8,0
22.8,0.15,6.0,3,1
24.4,0.47,6.7,3,0
15.8,0.21,15.0,10,1
17.2,0.14,8.9,2,1
14.0,0.31,16.2,3,1
13.5,0.11,8.1,12,1
35.6,0.33,13.7,5,1
15.1,0.19,3.4,8,1
26.9,0.33,10.3,5,1
24.8,0.52,2.9,8,0
13.9,0.24,18.0,1,1
17.4,0.23,27.6,10,0
30.8,0.71,7.0,8,0
22.4,0.93,4.4,9,0
24.7,0.13,16.0,5,1
14.7,0.11,12.2,2,1
30.8,0.63,11.8,8,1
26.4,0.3,13.4,8,1
9.8,0.23,11.3,1,0
9.3,0.37,14.9,12,0
34.6,0.63,22.2,8,0
26.0,0.52,15.3,9,0
35.9,0.09,11.6,4,1
27.4,0.3,12.9,9,1
9.0,0.07,14.9,11,0
15.4,0.38,24.1,2,1
8.6,0.42,9.7,10,0
31.2,0.66,20.0,8,0
22.3,0.89,25.6,8,0
19.4,0.2,6.2,12,1
17.0,0.32,18.0,3,1
24.1,0.33,14.8,10,1
26.5,0.65,8.7,5,0
21.6,0.72,10.8,9,0
13.7,0.71,7.9,9,0
35.3,0.48,21.2,7,0
16.2,0.52,12.5,2,0
30.4,0.31,10.7,7,1
16.3,0.27,11.1,11,1
19.4,0.76,13.0,9,0
11.9,0.18,14.7,12,1
18.5,0.18,9.6,3,1
10.1,0.36,10.6,11,1
21.2,0.24,10.7,1,1
24.6,0.57,0.5,6,0
11.8,0.12,15.0,10,1
27.7,0.5,13.3,6,0
29.0,0.02,16.2,8,1
26.3,0.48,5.5,8,0
37.1,0.03,6.6,5,0
24.3,0.76,6.3,7,0
25.6,0.35,1.3,11,1
35.9,0.29,9.6,7,1
22.6,0.57,16.5,9,1
5.3,0.16,1.1,11,0
16.1,0.27,11.0,12,1
33.4,0.63,8.0,7,0
36.0,0.26,8.5,5,1
30.1,0.06,8.6,5,1
25.7,0.32,17.2,4,1
27.5,0.44,8.6,4,0
10.2,0.14,3.2,12,1
31.2,0.03,12.1,4,1
36.2,0.28,17.9,4,0
15.8,0.17,12.5,11,1
32.5,0.73,8.6,8,0
21.9,0.11,7.1,2,1
21.7,0.71,15.8,9,0
26.6,0.1,15.4,6,1
27.3,0.07,4.1,5,1
14.0,0.19,12.0,12,1
24.6,0.25,14.5,3,0
23.8,0.19,12.5,4,1
26.0,0.08,9.5,3,1
27.1,0.07,12.0,4,1
13.8,0.33,17.5,12,1
5.6,0.08,13.7,12,0
15.4,0.06,7.5,2,1
34.1,0.08,12.1,4,1
21.3,0.47,19.0,9,0
29.2,0.1,12.7,7,1
36.8,0.05,12.2,4,0
13.6,0.41,11.8,2,0
12.6,0.4,11.2,12,1
16.6,0.42,9.3,10,0
29.9,0.19,11.6,3,1
9.5,0.04,19.5,1,0
41.8,0.24,18.4,6,0
33.8,0.14,8.6,3,1
27.3,0.31,4.6,3,1
9.5,0.22,3.9,11,0
14.7,0.3,18.5,1,1
26.5,0.06,6.7,4,1
28.0,0.12,20.5,4,1
17.5,0.73,9.2,9,0
20.4,0.19,10.3,3,1
15.5,0.43,2.6,1,0
33.3,0.2,18.3,4,1
33.1,0.28,6.6,6,1
31.8,0.31,23.0,4,1
23.7,0.05,11.6,4,1
15.8,0.3,19.3,12,1
18.4,0.33,4.5,2,1
14.3,0.29,11.7,11,1
18.8,0.3,8.8,10,1
18.3,0.21,30.2,12,1
15.0,0.27,13.4,10,1
22.5,0.33,28.0,4,1
27.2,0.16,8.1,5,1
12.6,0.2,16.1,2,1
30.9,0.12,14.3,8,1
5.8,0.08,6.1,11,0
6.5,0.04,11.3,1,0
25.5,0.54,19.0,6,0
19.1,0.13,8.7,2,1
26.7,0.23,4.1,4,1
35.7,0.93,13.5,7,0
27.4,0.76,3.3,6,1
26.6,0.55,16.4,6,1
21.2,0.64,14.9,8,0
10.3,0.24,3.6,2,1
15.1,0.15,10.0,10,1
18.7,0.41,11.8,10,0
22.9,0.39,0.5,4,0
2.8,0.05,8.7,1,0
23.3,0.26,5.8,4,1
28.2,0.23,11.6,5,1
17.8,0.21,30.5,2,0
30.5,0.38,11.0,8,1
36.1,0.76,16.6,7,0
14.2,0.3,12.4,1,1
20.7,0.88,12.3,9,0
33.1,0.33,22.1,7,1
6.0,0.16,6.5,1,0
26.1,0.95,19.6,9,0
6.9,0.51,6.4,12,1
13.5,0.15,2.8,11,1
27.7,0.16,6.2,5,1
15.0,0.5,11.9,1,0
5.6,0.27,5.7,1,0
27.5,0.55,16.9,6,0
35.9,0.03,9.8,5,1
16.8,0.01,5.4,10,1
22.6,0.24,11.3,3,1
27.4,0.22,16.8,1,1
37.7,0.72,8.1,7,0
40.3,0.77,18.6,7,0
28.6,0.67,16.2,7,0
34.3,0.14,16.6,4,1
9.9,0.04,20.2,10,0
36.7,0.09,4.1,6,0
2.7,0.17,17.3,11,0
31.4,0.34,10.6,4,1
12.2,0.09,18.0,10,1
16.3,0.13,13.0,1,1
16.1,0.38,3.6,10,0
33.8,0.45,15.9,6,0
12.2,0.23,14.3,12,1
30.1,0.54,14.8,7,0
31.7,0.61,14.1,8,0
20.7,0.08,15.4,3,1
16.1,0.52,10.7,9,1
12.9,0.47,20.3,2,0
20.6,0.04,16.7,10,1
13.1,0.1,15.3,11,1
35.2,0.79,24.2,6,0
18.0,0.21,14.7,9,0
39.5,0.3,17.8,4,0
38.0,0.39,16.7,5,0
15.2,0.12,12.8,12,1
38.0,0.4,8.2,6,0
35.9,0.48,19.4,7,0
36.6,0.12,10.4,5,0
18.2,0.02,8.1,10,1
39.1,0.41,13.5,6,0
34.3,0.65,6.6,7,0
15.4,0.15,12.1,11,1
4.7,0.18,0.4,11,0
25.4,0.29,15.4,5,1
14.8,0.13,27.8,2,1
26.6,0.05,7.8,8,1
8.0,0.09,7.3,1,0
12.4,0.32,16.0,1,1
13.7,0.07,14.7,1,1
20.5,0.36,13.4,10,1
28.4,0.42,9.8,8,0
14.6,0.5,7.5,2,0
33.8,0.97,7.6,7,0
8.8,0.19,10.8,12,0
15.3,0.02,15.5,1,1
36.6,0.45,3.9,6,1
29.7,0.82,11.6,8,0
12.7,0.36,22.7,9,0
29.6,0.62,11.0,6,0
21.2,0.26,13.8,2,1
0.2,0.1,13.6,11,0
15.8,0.39,21.4,10,1
26.8,0.73,10.5,9,0
31.8,0.03,7.4,5,1
28.4,0.66,3.7,8,0
31.3,0.53,17.2,9,0
16.3,0.12,0.8,1,1
11.3,0.21,21.9,11,1
7.9,0.24,12.1,11,0
5.9,0.06,13.9,12,0
28.5,0.12,7.5,4,1
19.9,0.71,0.0,9,0
35.1,0.44,10.6,6,0
5.4,0.15,26.5,11,0
25.4,0.09,13.3,6,1
20.4,0.07,16.7,3,1
4.8,0.07,18.6,12,0
28.0,0.35,10.2,9,1
28.0,0.63,0.2,8,0
18.4,0.85,17.9,9,0
13.2,0.45,20.0,2,0
25.8,0.15,5.8,4,1
13.1,0.3,13.9,12,1
30.9,0.63,7.2,8,0
26.4,0.75,5.8,6,0
16.3,0.12,4.5,1,1
31.5,0.32,10.1,8,1
37.8,0.44,13.0,6,0
38.2,0.66,14.2,7,0
26.2,0.06,13.2,5,1
11.0,0.37,25.2,11,1
12.5,0.22,6.2,1,1
31.2,0.37,11.4,6,0
19.9,0.29,16.3,2,1
21.5,0.68,13.1,9,0
30.3,0.53,11.0,7,0
7.3,0.16,17.2,11,0
27.1,0.85,16.5,9,0
13.6,0.08,15.3,11,1
12.2,0.37,9.9,11,1
14.9,0.4,15.4,4,0
18.0,0.23,7.6,9,1
25.7,0.06,18.1,3,1
12.1,0.33,5.7,10,0
28.9,0.21,32.7,3,0
34.1,0.04,1.6,8,0
24.3,0.33,14.2,10,1
24.3,0.16,10.6,9,1
7.7,0.06,15.6,1,0
26.2,0.45,14.0,7,0
8.1,0.57,11.8,12,0
10.2,0.07,15.5,12,1
23.4,0.2,13.9,2,1
19.7,0.56,17.3,10,0
30.3,0.41,11.3,6,0
34.4,0.51,31.6,6,1
8.6,0.14,17.4,12,0
22.2,0.62,13.4,8,0
15.2,0.31,5.7,12,1
11.9,0.29,10.4,12,0
19.4,0.26,9.8,10,1
11.0,0.39,14.1,11,1
11.1,0.04,14.4,12,1
20.8,0.09,16.8,3,1
11.3,0.55,14.5,1,0
9.0,0.36,8.0,1,0
29.7,0.19,12.1,5,1
27.5,0.22,12.3,10,0
16.9,0.24,30.1,2,0
19.5,0.26,14.8,4,1
21.8,0.34,15.5,5,1
29.6,0.91,11.5,6,0
10.5,0.55,15.1,1,0
22.4,0.06,9.8,3,1
40.4,0.29,0.0,5,0
16.1,0.33,5.2,2,1
17.7,0.01,4.1,11,1
29.4,0.43,15.7,8,0
35.0,0.34,5.0,4,1
29.7,0.29,7.9,6,1
12.9,0.38,1.8,1,1
25.7,0.15,13.9,3,1
33.8,0.57,6.0,4,0
15.0,0.47,15.2,9,0
17.9,0.55,3.6,10,0
19.9,0.47,14.5,7,1
34.0,0.22,14.4,4,1
23.9,0.41,11.7,8,1
8.9,0.36,26.6,12,0
9.6,0.57,13.5,11,0
25.8,0.26,13.4,3,1
21.8,0.08,6.6,11,1
17.2,0.3,13.4,3,1
27.4,0.35,16.5,9,1
22.4,0.31,7.5,4,1
31.0,0.35,16.7,4,1
23.6,0.12,10.6,3,1
19.2,0.2,12.0,12,1
8.8,0.19,13.6,1,0
24.8,0.23,12.8,3,1
18.3,0.1,21.7,11,1
21.0,0.06,7.6,2,0
29.5,0.73,15.9,5,0
24.2,0.42,18.3,9,0
7.5,0.25,19.7,12,0
15.9,0.49,21.3,11,0
15.5,0.36,19.1,10,1
32.2,0.51,5.7,6,0
21.3,0.17,8.0,8,1
2.9,0.06,11.7,2,0
34.9,0.56,7.8,5,0
22.8,0.26,0.0,7,1
24.6,0.5,11.9,8,0
31.7,0.38,18.0,6,1
9.8,0.31,8.3,12,0
30.2,0.39,23.1,6,1
0.5,0.13,19.9,1,0
17.3,0.06,8.3,3,0
18.5,0.06,18.6,3,1
18.3,0.14,18.5,3,1
34.6,0.35,15.5,7,1
23.0,0.34,6.7,4,1
38.8,0.31,0.0,5,0
11.6,0.27,13.9,1,1
12.6,0.4,12.0,11,0
21.1,0.2,11.5,2,1
13.3,0.44,17.2,12,0
23.5,0.46,6.1,5,0
32.9,0.65,14.2,6,0
9.5,0.8,15.9,2,0
16.9,0.09,9.9,11,1
28.6,0.79,23.9,8,0
18.4,0.26,17.1,4,1
17.1,0.21,4.0,2,1
27.6,0.12,11.9,5,1
15.2,0.68,9.2,8,0
24.3,0.16,10.5,2,1
24.1,0.48,5.9,7,0
24.0,0.4,11.7,3,1
16.5,0.12,24.2,1,1
25.8,0.47,10.7,4,0
30.3,0.58,10.0,8,0
27.5,0.11,5.8,4,1
14.9,0.34,8.2,12,0
34.2,0.21,19.1,6,1
7.8,0.1,19.5,1,0
19.8,0.1,16.7,3,1
30.2,0.28,19.2,7,1
4.7,0.14,17.0,1,0
24.9,0.63,18.3,6,0
17.4,0.52,13.5,3,0
25.9,0.62,11.0,7,0
20.3,0.19,7.0,1,1
32.6,0.98,6.6,8,0
15.1,0.3,9.5,12,1
18.7,0.12,9.3,10,1
27.7,0.36,13.2,4,1
14.8,0.53,17.0,9,0
16.7,0.1,9.9,10,0
26.2,0.22,13.4,5,1
22.4,0.52,4.4,7,0
30.7,0.35,4.9,5,1
9.5,0.5,0.0,11,0
21.1,0.01,11.7,10,1
19.6,0.52,12.0,4,0
18.0,0.05,12.0,8,1
29.1,0.68,11.9,8,0
32.4,0.37,10.7,6,1
28.8,0.14,9.1,8,1
15.6,0.35,17.1,2,1
7.1,0.13,19.8,12,0
6.2,0.46,12.0,11,1
30.7,0.83,6.7,6,0
16.3,0.15,10.4,10,1
31.1,0.32,15.5,6,1
23.5,0.48,11.5,4,0
24.4,0.25,6.4,2,1
20.2,0.32,8.5,8,1
12.4,0.0,12.7,11,1
32.0,0.24,20.1,6,1
7.6,0.15,11.7,12,0
17.9,0.21,18.1,10,1
20.6,0.27,10.9,2,1
13.3,0.38,30.0,9,1
31.8,0.48,5.7,7,0
32.3,0.44,5.0,7,1
12.2,0.33,2.1,1,1
22.0,0.12,8.7,4,1
24.7,0.19,15.6,9,0
28.8,0.5,10.3,9,0
20.4,0.74,8.2,9,0
15.0,0.07,16.7,1,1
18.6,0.24,13.9,1,1
34.1,0.39,14.9,4,1
19.6,0.17,15.2,4,1
24.5,0.18,18.7,6,1
33.6,0.11,9.4,5,1
32.6,0.25,6.3,7,1
35.3,0.59,26.6,5,0
8.3,0.17,7.1,12,0
38.0,0.71,20.1,6,0
25.5,0.59,16.6,7,0
7.3,0.41,7.0,10,1
23.5,0.08,14.4,1,1
39.1,0.55,13.9,7,0
18.0,0.22,4.9,2,1
19.5,0.18,7.0,10,0
21.0,0.2,12.8,5,1
29.0,0.3,12.0,5,1
28.5,0.19,11.9,4,1
33.9,0.11,8.0,4,1
24.6,0.41,10.4,2,0
24.9,0.14,14.6,6,1
22.9,0.03,4.1,2,1
13.2,0.38,15.0,12,1
29.3,0.91,17.8,6,0
20.9,0.69,16.3,8,0
31.2,0.55,5.5,5,0
17.3,0.37,14.9,9,1
34.3,0.25,11.8,5,1
14.1,0.09,7.6,11,1
37.0,0.51,5.6,7,0
27.1,0.35,17.5,6,1
34.4,0.66,15.8,6,1
8.4,0.3,16.8,11,0
8.5,0.09,10.8,12,0
30.9,0.46,7.4,8,0
11.5,0.16,4.6,2,1
15.5,0.45,9.6,1,0
19.1,0.27,7.2,12,1
12.5,0.04,11.8,11,1
11.8,0.34,0.0,12,1
15.9,0.42,11.6,9,0
18.3,0.2,15.4,11,1
12.5,0.19,3.9,11,1
25.8,0.35,20.0,1,0
26.4,0.26,15.7,4,1
32.7,0.25,14.9,7,1
11.7,0.16,10.9,10,1
17.9,0.3,10.9,10,1
14.8,0.09,14.3,11,1
20.9,0.18,7.8,3,1
29.3,0.65,12.2,9,0
27.9,0.36,14.4,4,1
31.9,0.05,21.1,8,1
17.0,0.0,15.5,10,1
7.7,0.22,2.9,10,0
17.2,0.2,8.7,2,1
12.3,0.4,13.5,9,0
18.3,0.2,15.1,11,1
32.6,0.23,2.1,5,1
31.2,0.47,6.0,8,0
24.7,0.53,9.9,10,0
34.0,0.59,0.9,5,0
27.7,0.79,18.1,9,0
13.0,0.3,2.9,2,0
13.3,0.11,16.8,11,1
32.8,0.65,4.0,6,0
27.2,0.77,14.7,8,0
22.7,0.27,15.1,2,1
22.9,0.2,13.9,6,1
12.6,0.25,0.0,2,1
14.8,0.14,9.1,12,1
27.7,0.4,27.2,4,1
13.9,0.28,2.8,11,1
30.4,0.87,20.2,7,0
32.1,0.63,25.6,6,0
15.4,0.1,10.1,1,1
17.2,0.27,14.8,3,1
25.9,0.16,14.1,3,1
25.4,0.89,17.8,6,0
10.6,0.06,11.0,1,1
21.6,0.19,10.3,10,1
24.2,0.2,11.8,2,1
36.0,0.77,16.7,7,0
23.6,0.52,9.2,10,0
27.6,0.07,24.1,7,1
12.9,0.14,8.1,12,1
27.8,0.69,16.7,9,0
26.9,0.27,24.0,10,1
17.1,0.09,14.7,2,0
16.2,0.24,6.8,10,1
23.8,0.4,15.2,10,1
17.7,0.29,28.3,2,1
7.0,0.06,13.0,11,0
15.8,0.31,16.6,2,0
20.1,0.01,19.3,10,1
8.9,0.61,10.8,1,0
17.4,0.43,3.6,9,0
22.9,0.4,21.2,1,0
17.9,0.11,9.6,2,1
10.0,0.11,0.0,2,0
21.2,0.5,17.5,9,0
8.5,0.02,3.7,11,0
21.7,0.46,10.9,3,0
25.5,0.42,18.2,3,0
22.3,0.35,4.2,2,1
29.5,0.37,14.1,8,1
19.2,0.32,15.3,12,1
27.7,0.32,11.6,2,1
19.3,0.77,4.8,9,0
16.6,0.14,8.9,1,1
31.4,0.53,16.3,7,0
25.2,0.19,0.0,7,1
27.5,0.88,14.2,6,0
25.1,0.35,13.3,6,1
29.0,0.09,6.9,5,1
20.4,0.06,13.0,3,1
42.9,0.44,12.9,5,0
29.3,0.3,24.0,9,1
36.7,0.77,14.9,6,0
30.9,0.32,16.4,6,1
8.0,0.39,11.7,1,0
24.4,0.07,10.2,4,1
13.0,0.03,2.0,10,1
31.9,0.24,21.7,4,1
16.7,0.75,4.8,11,0
23.2,0.31,17.1,4,1
28.8,0.34,22.3,5,1
17.6,0.04,9.3,11,1
31.2,0.78,12.8,8,0
31.4,0.82,7.4,7,0
27.6,0.08,16.6,5,1
18.7,0.41,12.1,9,0
13.5,0.11,11.2,11,1
11.5,0.51,4.1,12,0
24.3,0.44,21.3,4,0
14.5,0.52,18.0,2,0
23.1,0.35,6.1,3,1
20.4,0.62,18.8,9,0
21.0,0.47,11.3,9,0
21.6,0.3,15.7,11,1
28.4,0.08,6.9,4,1
12.5,0.28,12.7,12,1
29.2,0.77,17.9,6,0
23.8,0.01,15.4,11,1
22.4,0.3,8.8,9,1
10.1,0.2,27.4,10,1
19.8,0.44,10.5,9,0
12.8,0.17,10.5,3,0
33.8,0.06,10.6,5,1
23.9,0.12,10.9,3,1
20.7,0.35,12.2,10,1
35.6,0.04,24.7,4,1
27.6,0.25,13.9,4,1
8.9,0.27,20.9,1,0
10.7,0.43,11.9,11,0
22.8,0.04,6.3,2,1
25.1,0.55,5.2,6,0
26.5,0.24,5.9,3,1
26.3,0.77,0.0,8,0
29.4,0.46,6.6,9,0
26.0,0.42,18.6,4,0
20.0,0.23,22.3,2,1
22.0,0.1,10.1,3,1
18.7,0.25,19.7,3,1
12.0,0.47,12.9,1,0
15.6,0.34,6.8,12,1
11.5,0.43,10.0,9,0
24.2,0.65,18.1,8,0
16.5,0.89,17.2,9,0
18.3,0.35,17.8,12,1
